policyholder_id,age,policy_age_group,gender,marital_status,employment_status,region,monthly_income_usd,dependents_count,plan_type,payment_frequency,acquisition_channel,tenure_months,monthly_premium_usd,billing_amount_usd,premium_to_income_ratio,payment_delay_days_avg,missed_payments_last_12m,late_payments_last_12m,customer_service_calls_last_6m,complaints_last_12m,policy_changes_last_12m,claims_last_24m,mobile_app_usage_score,sms_engagement_rate,retention_offer_received,churn_probability_proxy,churn
PH100022,42,36-45,Female,Married,Self Employed,Matabeleland North,376.64,0,Standard,Monthly,Agent,58,12.5,12.5,0.0332,9,3,3,2,1,0,2,32,0.578,1,0.124,0
PH100023,24,18-25,Female,Married,Unemployed,Mashonaland West,107.3,1,Basic,Monthly,Agent,32,5.0,5.0,0.0466,2,0,0,0,1,0,0,47,0.294,0,0.13,0
PH100024,34,26-35,Male,Married,Self Employed,Bulawayo,523.18,1,Family,Monthly,Branch,21,26.35,26.35,0.0504,0,1,0,3,2,0,0,55,0.733,0,0.123,0
PH100025,42,36-45,Male,Married,Formally Employed,Bulawayo,413.15,0,Standard,Quarterly,Agent,28,14.65,41.02,0.0355,18,2,1,0,1,0,1,36,0.546,1,0.096,0
PH100026,27,26-35,Male,Married,Unemployed,Mashonaland East,45.0,2,Basic,Quarterly,Agent,56,6.42,17.98,0.1427,19,0,7,2,1,0,0,92,0.595,0,0.133,0
PH100027,46,46-60,Male,Married,Self Employed,Midlands,236.0,1,Basic,Monthly,Agent,37,9.9,9.9,0.0419,0,2,1,1,0,0,1,64,0.885,0,0.076,0
PH100028,34,26-35,Male,Single,Formally Employed,Mashonaland East,212.59,1,Family,Biannual,Agent,15,25.62,138.35,0.1205,3,1,2,0,0,0,1,32,0.628,0,0.055,1
PH100029,37,36-45,Female,Married,Self Employed,Matabeleland South,632.01,4,Standard,Monthly,Agent,33,12.86,12.86,0.0203,7,1,5,2,0,0,0,43,0.635,0,0.088,0
PH100030,34,26-35,Male,Married,Informal Trader,Bulawayo,321.71,3,Basic,Monthly,Mobile App,73,7.67,7.67,0.0238,6,2,1,3,0,1,0,63,0.187,0,0.087,1
PH100031,63,60+,Male,Divorced,Formally Employed,Masvingo,458.63,2,Standard,Monthly,Agent,41,12.97,12.97,0.0283,0,1,1,1,1,0,0,49,0.131,0,0.098,0
PH100032,41,36-45,Female,Married,Self Employed,Mashonaland East,346.76,2,Basic,Monthly,Agent,70,6.66,6.66,0.0192,26,2,4,1,0,1,0,35,0.371,1,0.097,0
PH100033,28,26-35,Female,Divorced,Formally Employed,Masvingo,195.29,2,Basic,Monthly,Branch,35,5.82,5.82,0.0298,3,0,4,2,0,0,1,79,0.613,0,0.045,0
PH100034,51,46-60,Female,Divorced,Informal Trader,Matabeleland South,222.91,1,Family,Monthly,Referral,37,27.4,27.4,0.1229,13,2,5,1,0,0,0,99,0.623,0,0.073,0
PH100035,26,26-35,Male,Single,Unemployed,Matabeleland South,177.17,3,Basic,Monthly,Website,16,5.0,5.0,0.0282,2,0,0,1,0,1,1,54,0.648,0,0.177,0
PH100036,44,36-45,Female,Married,Self Employed,Matabeleland South,519.17,1,Family,Monthly,Referral,22,27.34,27.34,0.0527,0,4,0,3,1,0,0,65,0.425,0,0.086,0
PH100037,18,18-25,Female,Married,Self Employed,Matabeleland South,452.84,5,Standard,Annual,Website,10,13.96,139.6,0.0308,4,0,4,1,0,0,1,85,0.63,1,0.027,0
PH100038,25,18-25,Male,Divorced,Formally Employed,Manicaland,199.54,4,Basic,Annual,Branch,39,5.0,50.0,0.0251,0,1,0,1,0,1,1,38,0.67,0,0.084,0
PH100039,43,36-45,Male,Married,Formally Employed,Matabeleland South,318.16,2,Premium,Monthly,Referral,63,17.5,17.5,0.055,0,0,1,4,1,0,0,98,0.441,1,0.02,0
PH100040,50,46-60,Female,Married,Formally Employed,Manicaland,516.98,2,Standard,Monthly,Branch,17,15.1,15.1,0.0292,6,5,2,3,0,0,0,26,0.375,0,0.243,0
PH100041,43,36-45,Female,Married,Self Employed,Manicaland,184.84,3,Premium,Quarterly,Agent,48,18.65,52.22,0.1009,12,1,5,1,1,0,0,66,0.405,0,0.061,0
PH100042,40,36-45,Female,Single,Informal Trader,Mashonaland West,336.61,4,Family,Quarterly,Agent,34,23.71,66.39,0.0704,14,4,4,2,0,0,1,37,0.669,0,0.119,1
PH100043,37,36-45,Female,Single,Farmer,Masvingo,86.85,5,Family,Monthly,Branch,41,25.18,25.18,0.2899,7,0,0,2,0,0,0,26,0.379,0,0.119,0
PH100044,23,18-25,Female,Married,Formally Employed,Matabeleland South,251.51,2,Basic,Monthly,Website,26,5.59,5.59,0.0222,3,2,0,0,0,0,0,40,0.709,0,0.034,0
PH100045,32,26-35,Female,Married,Informal Trader,Harare,91.05,2,Basic,Monthly,Agent,60,8.16,8.16,0.0896,12,1,2,3,2,0,1,45,0.783,0,0.093,0
PH100046,35,26-35,Male,Married,Informal Trader,Matabeleland North,190.69,4,Standard,Monthly,Agent,30,10.52,10.52,0.0552,0,1,2,4,1,0,0,40,0.759,0,0.126,0
PH100047,54,46-60,Male,Married,Informal Trader,Mashonaland East,67.48,2,Basic,Monthly,Website,15,7.24,7.24,0.1073,23,3,6,2,0,1,0,78,0.319,1,0.297,1
PH100048,45,36-45,Male,Married,Farmer,Midlands,171.38,1,Standard,Quarterly,Branch,12,13.1,36.68,0.0764,8,2,3,2,0,0,1,56,0.866,0,0.046,0
PH100049,20,18-25,Female,Married,Formally Employed,Masvingo,285.99,4,Basic,Monthly,Website,30,7.83,7.83,0.0274,19,3,3,2,1,0,0,71,0.906,1,0.064,0
PH100050,45,36-45,Female,Single,Formally Employed,Masvingo,326.74,2,Standard,Monthly,Referral,35,8.38,8.38,0.0256,14,1,4,1,0,0,0,71,0.752,0,0.095,0
PH100051,36,36-45,Female,Widowed,Informal Trader,Midlands,330.29,4,Basic,Monthly,Agent,48,7.06,7.06,0.0214,6,1,2,3,0,0,0,52,0.348,0,0.05,0
PH100052,33,26-35,Male,Divorced,Self Employed,Mashonaland East,378.2,5,Family,Monthly,Agent,39,26.32,26.32,0.0696,10,2,2,1,0,0,0,26,0.192,0,0.109,0
PH100053,48,46-60,Female,Married,Formally Employed,Masvingo,570.29,0,Premium,Biannual,Agent,76,20.93,113.02,0.0367,0,1,0,1,1,0,0,75,0.551,0,0.012,0
PH100054,53,46-60,Male,Single,Formally Employed,Manicaland,849.53,3,Basic,Monthly,Referral,12,9.34,9.34,0.011,11,1,2,1,0,0,0,35,0.723,0,0.063,0
PH100055,52,46-60,Male,Single,Self Employed,Mashonaland West,93.04,3,Family,Biannual,Agent,38,25.54,137.92,0.2745,0,1,0,0,0,0,0,92,0.51,0,0.022,0
PH100056,31,26-35,Female,Married,Informal Trader,Bulawayo,184.6,3,Basic,Monthly,Agent,38,8.3,8.3,0.045,0,0,2,1,0,0,0,79,0.912,0,0.049,0
PH100057,37,36-45,Female,Married,Formally Employed,Manicaland,264.74,1,Basic,Monthly,Agent,18,5.0,5.0,0.0189,21,3,6,2,0,0,0,55,0.149,0,0.263,0
PH100058,45,36-45,Female,Married,Self Employed,Matabeleland South,261.78,2,Basic,Monthly,Agent,43,6.26,6.26,0.0239,1,3,3,1,3,1,0,0,0.314,0,0.343,1
PH100059,53,46-60,Male,Single,Self Employed,Masvingo,444.02,1,Family,Monthly,Agent,21,29.22,29.22,0.0658,20,2,5,4,0,0,0,62,0.251,0,0.266,0
PH100060,35,26-35,Female,Married,Self Employed,Manicaland,680.89,2,Standard,Monthly,Website,60,13.8,13.8,0.0203,0,2,0,3,1,0,0,100,0.421,0,0.026,0
PH100061,39,36-45,Male,Married,Farmer,Bulawayo,284.44,3,Basic,Monthly,Mobile App,94,6.63,6.63,0.0233,19,1,1,2,0,0,1,50,0.569,0,0.031,0
PH100062,28,26-35,Male,Married,Formally Employed,Mashonaland West,537.34,2,Family,Annual,Website,46,24.98,249.8,0.0465,0,0,3,1,1,0,0,40,0.618,0,0.026,0
PH100063,27,26-35,Female,Married,Farmer,Mashonaland West,324.05,2,Basic,Biannual,Agent,24,5.66,30.56,0.0175,8,0,3,1,1,1,0,55,0.888,1,0.036,0
PH100064,51,46-60,Female,Single,Informal Trader,Harare,429.03,4,Family,Monthly,Branch,34,25.82,25.82,0.0602,11,0,2,2,0,0,0,67,0.362,1,0.031,0
PH100065,57,46-60,Female,Married,Unemployed,Manicaland,227.81,3,Basic,Monthly,Branch,11,6.74,6.74,0.0296,13,0,4,2,1,0,0,77,0.881,0,0.063,0
PH100066,40,36-45,Male,Widowed,Self Employed,Midlands,462.8,3,Family,Quarterly,Branch,75,24.65,69.02,0.0533,8,4,2,1,0,0,1,50,0.719,1,0.054,0
PH100067,53,46-60,Female,Married,Self Employed,Matabeleland South,216.41,2,Standard,Monthly,Agent,50,13.13,13.13,0.0607,0,1,5,1,1,0,0,35,0.797,1,0.071,0
PH100068,45,36-45,Male,Widowed,Farmer,Mashonaland West,186.05,2,Family,Monthly,Mobile App,64,24.84,24.84,0.1335,0,1,3,3,0,0,0,99,0.731,0,0.023,0
PH100069,33,26-35,Female,Married,Farmer,Mashonaland East,45.0,1,Family,Monthly,Branch,85,24.32,24.32,0.5404,7,0,2,2,1,1,0,14,0.702,0,0.251,1
PH100070,45,36-45,Male,Single,Formally Employed,Manicaland,587.94,2,Family,Monthly,Agent,34,23.24,23.24,0.0395,29,2,2,1,2,0,0,79,0.6,1,0.159,0
PH100071,59,46-60,Male,Married,Formally Employed,Matabeleland South,296.71,1,Standard,Monthly,Agent,7,14.9,14.9,0.0502,3,0,1,1,1,0,0,70,0.87,0,0.048,0
PH100072,41,36-45,Female,Married,Self Employed,Midlands,258.18,3,Family,Monthly,Agent,61,24.48,24.48,0.0948,24,3,6,1,0,0,0,76,0.401,0,0.129,0
PH100073,60,46-60,Female,Married,Farmer,Midlands,255.36,1,Premium,Annual,Agent,27,20.35,203.5,0.0797,20,1,5,1,0,0,0,38,0.701,1,0.077,0
PH100074,18,18-25,Male,Single,Self Employed,Matabeleland North,48.86,0,Basic,Monthly,Agent,50,7.82,7.82,0.16,16,4,6,1,0,0,0,31,0.313,1,0.136,0
PH100075,51,46-60,Male,Married,Informal Trader,Harare,373.82,0,Family,Monthly,Agent,29,28.59,28.59,0.0765,0,0,0,1,0,0,0,59,0.365,0,0.048,0
PH100076,42,36-45,Female,Single,Informal Trader,Mashonaland East,316.65,1,Standard,Monthly,Agent,53,12.03,12.03,0.038,14,2,0,4,1,0,0,35,0.226,1,0.132,0
PH100077,37,36-45,Male,Single,Unemployed,Mashonaland West,94.01,2,Basic,Monthly,Branch,30,6.04,6.04,0.0642,14,0,5,1,1,0,0,32,0.832,1,0.101,0
PH100078,42,36-45,Male,Married,Informal Trader,Mashonaland West,244.1,1,Standard,Annual,Referral,32,14.99,149.9,0.0614,8,1,4,2,0,0,0,42,0.717,1,0.107,0
PH100079,18,18-25,Male,Married,Self Employed,Harare,265.95,4,Standard,Monthly,Agent,30,13.67,13.67,0.0514,11,0,3,1,0,0,1,54,0.496,0,0.042,0
PH100080,38,36-45,Male,Divorced,Farmer,Manicaland,480.44,3,Standard,Annual,Agent,75,10.23,102.3,0.0213,1,0,4,3,1,0,0,73,0.236,0,0.039,0
PH100081,45,36-45,Female,Married,Informal Trader,Bulawayo,139.97,2,Standard,Monthly,Branch,65,12.89,12.89,0.0921,15,3,6,2,1,0,0,29,0.288,0,0.125,0
PH100082,59,46-60,Female,Married,Informal Trader,Midlands,288.74,4,Basic,Biannual,Branch,63,7.64,41.26,0.0265,20,4,3,0,2,0,0,99,0.567,0,0.158,1
PH100083,35,26-35,Female,Married,Self Employed,Mashonaland West,335.29,2,Standard,Quarterly,Branch,31,12.55,35.14,0.0374,0,1,4,3,0,0,0,0,0.66,0,0.072,0
PH100084,31,26-35,Female,Married,Informal Trader,Manicaland,256.47,3,Family,Annual,Branch,36,24.79,247.9,0.0967,9,1,0,5,1,0,1,73,0.641,0,0.096,0
PH100085,35,26-35,Male,Single,Formally Employed,Matabeleland North,542.27,2,Standard,Monthly,Mobile App,30,10.36,10.36,0.0191,0,2,2,0,0,0,0,81,0.146,0,0.036,0
PH100086,52,46-60,Male,Divorced,Formally Employed,Harare,549.28,0,Standard,Monthly,Website,60,13.37,13.37,0.0243,0,1,2,0,1,0,0,85,0.741,1,0.024,0
PH100087,45,36-45,Male,Married,Informal Trader,Harare,207.17,2,Basic,Quarterly,Referral,22,5.98,16.74,0.0289,12,1,4,1,2,1,0,50,0.595,0,0.117,0
PH100088,35,26-35,Male,Widowed,Informal Trader,Masvingo,110.54,4,Basic,Quarterly,Branch,34,5.71,15.99,0.0517,11,2,4,2,0,0,0,45,0.789,1,0.218,1
PH100089,47,46-60,Male,Married,Informal Trader,Harare,162.15,3,Standard,Annual,Referral,18,14.37,143.7,0.0886,2,2,4,0,1,1,1,100,0.701,1,0.037,0
PH100090,42,36-45,Female,Single,Formally Employed,Mashonaland East,367.09,2,Basic,Monthly,Mobile App,63,6.12,6.12,0.0167,30,4,4,4,1,1,1,10,0.355,0,0.389,0
PH100091,53,46-60,Female,Married,Informal Trader,Masvingo,178.39,1,Premium,Monthly,Mobile App,24,20.59,20.59,0.1154,11,3,1,3,0,1,0,41,0.489,0,0.133,0
PH100092,33,26-35,Male,Single,Self Employed,Harare,202.9,2,Premium,Monthly,Branch,45,17.64,17.64,0.0869,1,0,3,3,1,0,1,31,0.521,1,0.057,0
PH100093,37,36-45,Female,Married,Informal Trader,Matabeleland South,303.77,0,Standard,Monthly,Referral,4,11.69,11.69,0.0385,12,0,1,1,1,0,0,78,0.337,1,0.067,0
PH100094,36,36-45,Female,Single,Self Employed,Mashonaland East,149.53,2,Standard,Biannual,Referral,23,12.92,69.77,0.0864,0,4,0,2,1,0,0,55,0.381,1,0.158,0
PH100095,23,18-25,Female,Married,Informal Trader,Matabeleland South,243.83,1,Family,Monthly,Agent,30,26.26,26.26,0.1077,12,1,4,0,2,1,0,18,0.156,0,0.216,0
PH100096,45,36-45,Female,Divorced,Unemployed,Matabeleland South,45.0,3,Basic,Monthly,Branch,29,5.0,5.0,0.1111,5,1,2,4,0,0,0,35,0.424,0,0.292,0
PH100097,44,36-45,Female,Married,Formally Employed,Masvingo,646.39,0,Standard,Quarterly,Referral,69,10.79,30.21,0.0167,23,2,2,5,0,0,0,45,0.418,0,0.129,0
PH100098,41,36-45,Female,Widowed,Self Employed,Midlands,275.49,1,Family,Biannual,Agent,22,22.54,121.72,0.0818,0,0,0,1,0,1,0,68,0.765,1,0.025,0
PH100099,38,36-45,Female,Married,Informal Trader,Harare,162.69,4,Family,Monthly,Agent,12,24.47,24.47,0.1504,18,4,3,2,0,0,0,20,0.295,0,0.296,0
PH100100,24,18-25,Female,Married,Informal Trader,Mashonaland West,142.53,1,Standard,Monthly,Agent,72,13.49,13.49,0.0946,8,1,2,1,0,0,0,97,0.587,0,0.08,1
PH100101,36,36-45,Male,Divorced,Informal Trader,Manicaland,454.62,3,Standard,Annual,Branch,43,10.03,100.3,0.0221,17,0,4,2,0,0,0,62,0.844,0,0.054,0
PH100102,37,36-45,Male,Widowed,Informal Trader,Masvingo,409.29,2,Basic,Monthly,Mobile App,65,6.56,6.56,0.016,19,1,4,2,1,0,0,69,0.45,1,0.137,0
PH100103,31,26-35,Female,Married,Self Employed,Mashonaland East,389.24,2,Basic,Quarterly,Agent,9,8.33,23.32,0.0214,13,3,4,1,1,0,1,63,0.107,0,0.278,1
PH100104,39,36-45,Male,Married,Self Employed,Matabeleland South,294.67,1,Premium,Monthly,Mobile App,45,16.4,16.4,0.0557,19,1,2,2,0,0,0,74,0.362,0,0.058,0
PH100105,46,46-60,Male,Married,Formally Employed,Midlands,823.61,4,Basic,Monthly,Referral,93,8.15,8.15,0.0099,12,2,3,1,1,1,0,7,0.313,1,0.072,0
PH100106,64,60+,Female,Single,Formally Employed,Mashonaland East,539.58,0,Family,Annual,Agent,34,26.08,260.8,0.0483,1,0,3,5,0,0,0,91,0.748,0,0.038,0
PH100107,43,36-45,Male,Married,Informal Trader,Masvingo,219.37,4,Standard,Quarterly,Agent,33,11.24,31.47,0.0512,27,2,4,2,0,0,0,86,0.328,0,0.112,0
PH100108,44,36-45,Female,Married,Formally Employed,Bulawayo,349.01,1,Basic,Monthly,Website,26,7.58,7.58,0.0217,0,3,4,1,0,1,0,67,0.512,0,0.045,0
PH100109,40,36-45,Female,Widowed,Farmer,Manicaland,301.78,1,Basic,Quarterly,Referral,35,5.0,14.0,0.0166,0,2,1,4,1,0,2,100,0.379,0,0.051,0
PH100110,18,18-25,Female,Widowed,Unemployed,Midlands,106.77,3,Standard,Monthly,Agent,29,11.01,11.01,0.1031,4,2,3,0,0,0,1,32,0.861,0,0.098,0
PH100111,41,36-45,Female,Married,Unemployed,Mashonaland East,45.0,2,Basic,Monthly,Mobile App,31,5.0,5.0,0.1111,0,0,2,3,0,1,0,34,0.669,0,0.101,0
PH100112,42,36-45,Male,Single,Farmer,Midlands,237.19,3,Premium,Quarterly,Branch,34,16.48,46.14,0.0695,8,3,1,1,1,0,0,52,0.963,1,0.03,0
PH100113,71,60+,Female,Widowed,Self Employed,Matabeleland South,420.59,3,Family,Quarterly,Agent,80,29.44,82.43,0.07,9,0,4,1,2,0,0,38,0.442,0,0.166,0
PH100114,39,36-45,Female,Single,Unemployed,Mashonaland West,122.66,0,Family,Biannual,Website,26,24.84,134.14,0.2025,1,1,1,3,0,2,0,57,0.586,0,0.14,0
PH100115,45,36-45,Female,Married,Formally Employed,Harare,540.93,3,Premium,Monthly,Branch,42,17.47,17.47,0.0323,13,2,4,1,1,0,0,82,0.605,1,0.027,0
PH100116,41,36-45,Male,Single,Formally Employed,Mashonaland West,391.77,3,Family,Quarterly,Mobile App,36,24.0,67.2,0.0613,0,3,3,0,0,0,1,63,0.738,0,0.027,0
PH100117,27,26-35,Male,Married,Unemployed,Masvingo,120.42,3,Standard,Monthly,Agent,23,11.72,11.72,0.0973,14,2,5,1,0,1,0,62,0.39,0,0.187,1
PH100118,55,46-60,Female,Divorced,Formally Employed,Bulawayo,448.2,6,Standard,Monthly,Website,105,13.13,13.13,0.0293,2,1,2,2,1,0,0,28,0.458,1,0.026,0
PH100119,50,46-60,Male,Single,Farmer,Matabeleland North,86.11,1,Premium,Monthly,Agent,38,20.86,20.86,0.2422,6,0,0,2,0,0,0,53,0.625,0,0.049,0
PH100120,50,46-60,Female,Married,Informal Trader,Bulawayo,334.33,2,Basic,Annual,Agent,39,11.84,118.4,0.0354,0,2,2,2,0,0,0,52,0.907,0,0.029,0
PH100121,30,26-35,Male,Married,Unemployed,Matabeleland South,153.01,3,Basic,Monthly,Agent,45,6.59,6.59,0.0431,33,3,8,4,0,0,1,48,0.537,0,0.431,1
PH100122,58,46-60,Male,Divorced,Formally Employed,Bulawayo,628.06,0,Premium,Monthly,Agent,33,22.2,22.2,0.0353,1,0,5,0,1,1,1,82,0.813,1,0.032,0
PH100123,24,18-25,Male,Widowed,Informal Trader,Manicaland,128.9,1,Family,Monthly,Referral,32,22.95,22.95,0.178,27,6,3,3,0,0,0,64,0.705,1,0.265,0
PH100124,48,46-60,Male,Single,Formally Employed,Matabeleland North,373.92,2,Standard,Monthly,Agent,33,12.65,12.65,0.0338,0,0,2,2,2,1,0,31,0.559,0,0.115,0
PH100125,67,60+,Female,Single,Unemployed,Masvingo,186.55,3,Standard,Annual,Branch,22,14.42,144.2,0.0773,3,0,1,2,1,0,2,55,0.558,0,0.075,0
PH100126,29,26-35,Female,Married,Formally Employed,Harare,346.29,0,Standard,Monthly,Website,18,11.48,11.48,0.0332,12,1,6,4,1,2,1,78,0.668,0,0.129,0
PH100127,34,26-35,Male,Married,Informal Trader,Mashonaland East,465.58,2,Standard,Quarterly,Branch,3,12.29,34.41,0.0264,10,3,4,1,0,0,0,63,0.376,1,0.171,0
PH100128,42,36-45,Female,Married,Formally Employed,Mashonaland West,169.3,2,Standard,Monthly,Agent,25,12.92,12.92,0.0763,2,4,2,2,0,0,0,62,0.79,0,0.088,1
PH100129,35,26-35,Male,Single,Formally Employed,Manicaland,348.25,2,Family,Monthly,Website,29,24.43,24.43,0.0702,7,2,4,3,1,0,0,35,0.591,0,0.143,0
PH100130,22,18-25,Female,Single,Self Employed,Harare,300.97,2,Standard,Biannual,Branch,38,11.93,64.42,0.0396,21,3,1,2,1,2,0,77,0.84,0,0.059,0
PH100131,42,36-45,Male,Married,Formally Employed,Manicaland,587.47,1,Basic,Quarterly,Agent,48,7.83,21.92,0.0133,0,0,1,3,1,0,0,27,0.51,0,0.08,0
PH100132,28,26-35,Female,Single,Informal Trader,Matabeleland South,449.85,2,Premium,Monthly,Agent,13,18.4,18.4,0.0409,18,4,4,2,0,0,0,52,0.418,0,0.273,1
PH100133,47,46-60,Female,Widowed,Formally Employed,Bulawayo,504.7,0,Standard,Monthly,Branch,12,12.66,12.66,0.0251,12,1,1,2,0,1,0,61,0.292,0,0.112,1
PH100134,30,26-35,Female,Single,Self Employed,Harare,45.0,2,Premium,Monthly,Mobile App,48,17.27,17.27,0.3838,13,3,2,2,0,0,0,70,0.433,0,0.182,0
PH100135,60,46-60,Female,Single,Informal Trader,Midlands,240.28,3,Standard,Monthly,Branch,78,12.24,12.24,0.0509,0,4,3,0,0,0,1,56,0.823,1,0.03,0
PH100136,32,26-35,Female,Divorced,Formally Employed,Midlands,472.16,0,Premium,Monthly,Agent,56,19.63,19.63,0.0416,16,3,4,2,1,0,1,52,0.101,0,0.203,0
PH100137,37,36-45,Female,Married,Self Employed,Mashonaland West,446.83,1,Basic,Monthly,Branch,3,6.39,6.39,0.0143,0,1,1,2,0,0,0,21,0.525,0,0.152,0
PH100138,51,46-60,Female,Married,Unemployed,Bulawayo,115.29,4,Basic,Monthly,Agent,30,9.51,9.51,0.0825,3,0,2,0,0,0,0,48,0.824,0,0.027,0
PH100139,26,26-35,Female,Single,Formally Employed,Harare,685.15,4,Standard,Monthly,Agent,19,12.83,12.83,0.0187,1,0,0,1,0,0,0,77,0.64,0,0.031,0
PH100140,44,36-45,Female,Married,Formally Employed,Mashonaland West,290.11,2,Premium,Monthly,Referral,32,19.64,19.64,0.0677,7,0,1,3,1,0,0,70,0.577,0,0.049,0
PH100141,57,46-60,Male,Married,Self Employed,Mashonaland East,204.77,1,Basic,Monthly,Agent,12,9.11,9.11,0.0445,6,2,4,1,0,0,0,52,0.893,0,0.061,0
PH100142,22,18-25,Female,Married,Self Employed,Matabeleland South,275.9,2,Standard,Quarterly,Agent,111,14.09,39.45,0.0511,5,2,0,0,0,0,1,75,0.671,1,0.024,0
PH100143,43,36-45,Male,Widowed,Informal Trader,Mashonaland West,562.22,2,Family,Monthly,Referral,22,24.2,24.2,0.043,7,0,4,1,1,1,0,67,0.607,1,0.039,0
PH100144,44,36-45,Female,Married,Self Employed,Bulawayo,349.42,1,Basic,Monthly,Agent,41,6.54,6.54,0.0187,18,2,5,2,1,0,0,100,0.219,0,0.09,0
PH100145,50,46-60,Female,Married,Unemployed,Mashonaland East,188.93,4,Family,Monthly,Branch,15,28.79,28.79,0.1524,38,3,6,1,0,1,0,45,0.794,0,0.486,1
